Macrotrends Data Download

Gold Price - Last 10 Years

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2011-06-03,1531.0000
2011-06-06,1542.7500
2011-06-07,1548.4000
2011-06-08,1535.5000
2011-06-09,1534.0000
2011-06-10,1541.0000
2011-06-13,1524.7000
2011-06-14,1519.0000
2011-06-15,1517.7500
2011-06-16,1525.0000
2011-06-17,1526.2500
2011-06-20,1537.0000
2011-06-21,1543.0000
2011-06-22,1546.0000
2011-06-23,1541.5000
2011-06-24,1521.0000
2011-06-27,1501.0000
2011-06-28,1502.5000
2011-06-29,1506.0000
2011-06-30,1508.0000
2011-07-01,1492.7500
2011-07-04,1495.2500
2011-07-05,1498.7500
2011-07-06,1515.8000
2011-07-07,1526.2500
2011-07-08,1526.0000
2011-07-11,1543.5000
2011-07-12,1544.5000
2011-07-13,1571.5000
2011-07-14,1592.5000
2011-07-15,1578.5000
2011-07-18,1598.2500
2011-07-19,1602.0000
2011-07-20,1584.2500
2011-07-21,1600.5000
2011-07-22,1588.0000
2011-07-25,1618.5000
2011-07-26,1610.0000
2011-07-27,1621.0000
2011-07-28,1617.5000
2011-07-29,1613.7500
2011-08-01,1613.5000
2011-08-02,1624.0000
2011-08-03,1667.5000
2011-08-04,1664.2500
2011-08-05,1665.0000
2011-08-08,1709.7500
2011-08-09,1770.0000
2011-08-10,1753.7500
2011-08-11,1786.0000
2011-08-12,1755.0000
2011-08-15,1738.0000
2011-08-16,1779.0000
2011-08-17,1792.0000
2011-08-18,1794.5000
2011-08-19,1862.0000
2011-08-22,1877.7500
2011-08-23,1886.5000
2011-08-24,1850.0000
2011-08-25,1716.5000
2011-08-26,1787.0000
2011-08-30,1791.0000
2011-08-31,1826.0000
2011-09-01,1815.5000
2011-09-02,1854.0000
2011-09-05,1896.5000
2011-09-06,1891.0000
2011-09-07,1844.0000
2011-09-08,1827.0000
2011-09-09,1879.5000
2011-09-12,1843.0000
2011-09-13,1806.0000
2011-09-14,1829.0000
2011-09-15,1806.0000
2011-09-16,1778.0000
2011-09-19,1817.0000
2011-09-20,1792.0000
2011-09-21,1810.2500
2011-09-22,1765.5000
2011-09-23,1730.0000
2011-09-26,1615.0000
2011-09-27,1671.0000
2011-09-28,1655.0000
2011-09-29,1620.0000
2011-09-30,1629.0000
2011-10-03,1660.0000
2011-10-04,1672.0000
2011-10-05,1600.0000
2011-10-06,1649.5000
2011-10-07,1651.0000
2011-10-10,1664.0000
2011-10-11,1662.0000
2011-10-12,1687.0000
2011-10-13,1673.0000
2011-10-14,1676.0000
2011-10-17,1689.0000
2011-10-18,1658.0000
2011-10-19,1651.0000
2011-10-20,1629.0000
2011-10-21,1623.0000
2011-10-24,1651.0000
2011-10-25,1656.2500
2011-10-26,1713.0000
2011-10-27,1708.0000
2011-10-28,1735.0000
2011-10-31,1718.0000
2011-11-01,1702.0000
2011-11-02,1731.0000
2011-11-03,1732.5000
2011-11-04,1756.0000
2011-11-07,1764.0000
2011-11-08,1794.0000
2011-11-09,1780.0000
2011-11-10,1766.0000
2011-11-11,1764.0000
2011-11-14,1780.5000
2011-11-15,1765.0000
2011-11-16,1773.0000
2011-11-17,1756.0000
2011-11-18,1730.0000
2011-11-21,1704.0000
2011-11-22,1697.5000
2011-11-23,1686.0000
2011-11-24,1699.0000
2011-11-25,1676.0000
2011-11-28,1714.0000
2011-11-29,1717.0000
2011-11-30,1704.0000
2011-12-01,1750.0000
